//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-3-2022
//--  Time: 11:26
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 5800.0 Ohms 
//--    Temperature2: 80.0(C), 	Resistance 2: 320.0 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 180.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	70.00	700 	0.000
1	265.85	2658 	0.156
2	215.09	2151 	0.313
3	187.05	1870 	0.469
4	167.57	1676 	0.625
5	152.53	1525 	0.781
6	140.19	1402 	0.938
7	129.63	1296 	1.094
8	120.33	1203 	1.250
9	111.95	1120 	1.406
10	104.27	1043 	1.563
11	97.12	971 	1.719
12	90.37	904 	1.875
13	83.94	839 	2.031
14	77.75	778 	2.188
15	71.73	717 	2.344
16	65.84	658 	2.500
17	60.01	600 	2.656
18	54.19	542 	2.813
19	48.34	483 	2.969
20	42.40	424 	3.125
21	36.32	363 	3.281
22	30.01	300 	3.438
23	23.39	234 	3.594
24	16.34	163 	3.750
25	8.68	87 	3.906
26	0.18	2 	4.063
27	-9.57	-96 	4.219
28	-21.32	-213 	4.375
29	-36.68	-367 	4.531
30	70.00	700 	4.688
31	70.00	700 	4.844
